"OBJECTID","LAYER_NAME","FEATURE_VALUE"
1000984,POLICESECTOR,"102C"
1000985,POLICESECTOR,"102D"
1000986,POLICESECTOR,"112A"
1000987,POLICESECTOR,"112B"
1000988,POLICESECTOR,"112C"
1000989,POLICESECTOR,"112D"
1000990,POLICESECTOR,"17A"
1000991,POLICESECTOR,"17B"
1000992,POLICESECTOR,"17C"
1000065,POLICESECTOR,"100C"
1000066,POLICESECTOR,"101A"
1000067,POLICESECTOR,"101B"
1000068,POLICESECTOR,"101C"
1000069,POLICESECTOR,"101D"
1000078,POLICESECTOR,"100A"
1000079,POLICESECTOR,"100B"
1000805,POLICESECTOR,"23A"
1000806,POLICESECTOR,"23B"
1000807,POLICESECTOR,"23C"
1000808,POLICESECTOR,"23D"
1000809,POLICESECTOR,"42A"
1000810,POLICESECTOR,"42B"
1000811,POLICESECTOR,"42C"
1000812,POLICESECTOR,"42D"
1000813,POLICESECTOR,"48A"
1000814,POLICESECTOR,"48B"
1000815,POLICESECTOR,"48C"
1000816,POLICESECTOR,"48D"
1000955,POLICESECTOR,"107A"
1000956,POLICESECTOR,"107B"
1000993,POLICESECTOR,"20A"
1000994,POLICESECTOR,"20B"
1000995,POLICESECTOR,"20C"
1000996,POLICESECTOR,"45A"
1000997,POLICESECTOR,"45B"
1000998,POLICESECTOR,"45C"
1000999,POLICESECTOR,"66A"
1001000,POLICESECTOR,"66B"
1001001,POLICESECTOR,"66C"
1001002,POLICESECTOR,"66D"
1001003,POLICESECTOR,"68A"
1001004,POLICESECTOR,"68B"
1001005,POLICESECTOR,"68C"
1001006,POLICESECTOR,"68D"
1001007,POLICESECTOR,"102A"
1001008,POLICESECTOR,"102B"
1000143,POLICESECTOR,"32C"
8,CITY,Jackson Heights
9,CITY,Glen Oaks
10,CITY,New Hyde Park
11,CITY,Bellerose
12,CITY,Fresh Meadows
13,CITY,Elmhurst
14,CITY,Floral Park
15,CITY,Forest Hills
16,CITY,Queens Village
17,CITY,Rego Park
18,CITY,Fresh Meadows
19,CITY,Hollis
20,CITY,Queens Village
21,CITY,Jamaica
22,CITY,Middle Village
23,CITY,Queens Village
24,CITY,Jamaica
25,CITY,Kew Gardens
26,CITY,Richmond Hill
27,CITY,Jamaica
28,CITY,Jamaica
29,CITY,Brooklyn
30,CITY,Woodhaven
31,CITY,South Richmond Hill
32,CITY,Jamaica
33,CITY,Brooklyn
34,CITY,Ozone Park
35,CITY,Brooklyn
36,CITY,Jamaica
